iteration,edge_weight_mean,non_edge_weight_mean,weight_gap,embedding_norm_mean,embedding_norm_std,embedding_similarity_mean
1000,0.0025184028781950474,0.000467227422632277,0.0020511754555627704,1.001727819442749,0.09976650774478912,-0.0003749245370272547
2000,0.002457043156027794,0.00048169115325435996,0.001975352002773434,1.1129990816116333,0.17914947867393494,-0.0015308395959436893
3000,0.0021333026234060526,0.0005070008337497711,0.0016263017896562815,1.1696343421936035,0.23770436644554138,-0.0018600248731672764
4000,0.0022726973984390497,0.0005260739126242697,0.00174662348581478,1.2086186408996582,0.2898867726325989,-0.0019111144356429577
5000,-0.009280933998525143,-0.00020962061535101384,-0.009071313383174129,1.2011417150497437,0.3170655071735382,-0.001916401437483728
6000,0.0021580662578344345,0.0005483237328007817,0.0016097425250336528,1.25776207447052,0.35776612162590027,-0.0016653845086693764
7000,0.002270880388095975,0.0005514135700650513,0.0017194668180309236,1.272363305091858,0.3782130181789398,-0.0014836606569588184
8000,0.0022551370784640312,0.000553319463506341,0.0017018176149576902,1.2821824550628662,0.3906155526638031,-0.0013236714294180274
9000,0.002337906276807189,0.0005608301726169884,0.0017770761041902006,1.2883570194244385,0.3975508511066437,-0.001179521786980331
10000,-0.006065234541893005,-0.0003768531314563006,-0.005688381410436705,1.3177449703216553,0.4606834352016449,-0.0019240002147853374
15000,-0.015997787937521935,-0.00042360133375041187,-0.015574186603771523,1.4576116800308228,0.5448195934295654,-0.0006933652912266552
20000,-0.0018943541217595339,-0.0001817821030272171,-0.0017125720187323168,1.5134310722351074,0.6065155267715454,0.0004993091570213437
25000,-0.018094025552272797,-0.000650417001452297,-0.0174436085508205,1.567530632019043,0.6811964511871338,0.002321927109733224
30000,0.001022307318635285,0.00015503342729061842,0.0008672738913446665,1.626091718673706,0.724067747592926,0.004723875783383846
35000,-0.0190536230802536,-0.000817927997559309,-0.018235695082694292,1.6168619394302368,0.7859883308410645,0.005098974332213402
40000,0.002496474189683795,0.0005590164801105857,0.0019374577095732093,1.7031691074371338,0.8365631699562073,0.009504321031272411
45000,-0.019272252917289734,-0.0009108743979595602,-0.018361378519330174,1.6375055313110352,0.8446701169013977,0.007045322097837925
50000,0.003479443257674575,0.0009979808237403631,0.0024814624339342117,1.7551003694534302,0.9369217157363892,0.01472137775272131
60000,0.003945897798985243,0.0013979262439534068,0.002547971555031836,1.7897398471832275,1.0316531658172607,0.019518788903951645
70000,0.003952134866267443,0.0016952387522906065,0.002256896113976836,1.812304139137268,1.1134471893310547,0.02370358444750309
80000,0.004513895139098167,0.0019020745530724525,0.002611820586025715,1.8267377614974976,1.1743030548095703,0.026988910511136055
90000,0.004501112271100283,0.0020343621727079153,0.0024667500983923674,1.835766077041626,1.216089129447937,0.029368557035923004
100000,0.0046329922042787075,0.002114977454766631,0.0025180147495120764,1.8417730331420898,1.2462795972824097,0.0311261173337698
